Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD8920,Indore,Amity University,3rd,Data Science,Email
LD8921,Nagpur,Shivaji University,4th,Data Science,Referral
LD8922,Coimbatore,Amity University,3rd,Data Science,Referral
LD8923,Indore,SP College,4th,Machine Learning,Email
LD8924,Mumbai,IIT Bombay,1st,Robotics,College Collaboration
LD8925,Surat,MIT Pune,1st,Robotics,WhatsApp
LD8926,Indore,SRM University,2nd,Cloud Computing,Google Form
LD8927,Surat,IIT Bombay,2nd,Electric Vehicle,Instagram
LD8928,Trivandrum,Bharati Vidyapeeth,1st,AI,LinkedIn
LD8929,Surat,Jamia Millia Islamia,2nd,AI,Referral
LD8930,Vadodara,IISc Bangalore,3rd,Robotics,Email
LD8931,Pune,NIT Warangal,2nd,Electric Vehicle,Mass-Mailing
LD8932,Hyderabad,ABC Institute,3rd,Data Science,Referral
LD8933,Visakhapatnam,NIT Trichy,4th,Cyber Security,Google Form
LD8934,Mumbai,ABC Institute,4th,Electric Vehicle,WhatsApp
LD8935,Kolkata,Bharati Vidyapeeth,4th,Cyber Security,Facebook
LD8936,Visakhapatnam,IIT Bombay,4th,Electric Vehicle,Referral
LD8937,Visakhapatnam,IIT Bombay,1st,Machine Learning,Instagram
LD8938,Ahmedabad,Bharati Vidyapeeth,1st,Electric Vehicle,Facebook
LD8939,Kolkata,XYZ University,3rd,AI,Facebook
LD8940,Trivandrum,University of Delhi,3rd,Machine Learning,Mass-Mailing
LD8941,Bangalore,University of Delhi,3rd,Cyber Security,Facebook
LD8942,Nagpur,Shivaji University,3rd,Robotics,WhatsApp
LD8943,Lucknow,ABC Institute,3rd,AI,Mass-Mailing
LD8944,Nagpur,VIT Vellore,3rd,Cyber Security,Mass-Mailing
LD8945,Pune,ABC Institute,4th,Machine Learning,Referral
LD8946,Lucknow,Manipal University,3rd,Cloud Computing,WhatsApp
LD8947,Bangalore,BITS Pilani,4th,AI,LinkedIn
LD8948,Hyderabad,IISc Bangalore,4th,Data Science,Referral
LD8949,Vadodara,Shivaji University,2nd,Data Science,Mass-Mailing
LD8950,Surat,IISc Bangalore,3rd,Cloud Computing,College Collaboration
LD8951,Chennai,Shiv Nadar University,2nd,Data Science,Email
LD8952,Trivandrum,Shivaji University,2nd,Cloud Computing,Email
LD8953,Visakhapatnam,IISc Bangalore,2nd,Cloud Computing,WhatsApp
LD8954,Ahmedabad,MIT Pune,3rd,AI,Instagram
LD8955,Kolkata,Jadavpur University,1st,Cloud Computing,Email
LD8956,Chandigarh,Amity University,3rd,Electric Vehicle,LinkedIn
LD8957,Bhopal,IIT Delhi,2nd,Cloud Computing,Mass-Mailing
LD8958,Nagpur,Jadavpur University,3rd,Electric Vehicle,Instagram
LD8959,Chandigarh,XYZ University,2nd,Electric Vehicle,Facebook
LD8960,Mumbai,Shivaji University,1st,Robotics,Referral
LD8961,Indore,XYZ University,4th,Robotics,Referral
LD8962,Lucknow,Amity University,4th,Cyber Security,Referral
LD8963,Jaipur,BITS Pilani,2nd,Cyber Security,Facebook
LD8964,Hyderabad,Amity University,2nd,Data Science,WhatsApp
LD8965,Vadodara,University of Delhi,3rd,AI,WhatsApp
LD8966,Patna,BITS Pilani,3rd,Data Science,College Collaboration
LD8967,Mumbai,ABC Institute,1st,Cloud Computing,Mass-Mailing
LD8968,Bhopal,ABC Institute,1st,Data Science,Facebook
LD8969,Indore,Bharati Vidyapeeth,4th,Electric Vehicle,LinkedIn
LD8970,Nagpur,MIT Pune,4th,Machine Learning,Facebook
LD8971,Nagpur,Jamia Millia Islamia,3rd,Robotics,Instagram
LD8972,Vadodara,NIT Warangal,1st,Robotics,Mass-Mailing
LD8973,Coimbatore,Jamia Millia Islamia,3rd,Cloud Computing,Instagram
LD8974,Indore,IISc Bangalore,3rd,AI,College Collaboration
LD8975,Jaipur,SP College,4th,Robotics,Email
LD8976,Nagpur,SRM University,4th,AI,Instagram
LD8977,Pune,VIT Vellore,1st,Cyber Security,Facebook
LD8978,Delhi,NIT Warangal,1st,Machine Learning,LinkedIn
LD8979,Hyderabad,IISc Bangalore,2nd,Robotics,Facebook
LD8980,Ahmedabad,Jamia Millia Islamia,2nd,Robotics,Mass-Mailing
LD8981,Patna,VIT Vellore,4th,AI,Facebook
LD8982,Delhi,XYZ University,3rd,Cloud Computing,College Collaboration
LD8983,Trivandrum,SP College,2nd,Cloud Computing,LinkedIn
LD8984,Bhopal,MIT Pune,3rd,Cyber Security,College Collaboration
LD8985,Bangalore,IIT Bombay,3rd,Cyber Security,College Collaboration
LD8986,Ahmedabad,BITS Pilani,3rd,Cyber Security,LinkedIn
LD8987,Visakhapatnam,Bharati Vidyapeeth,4th,Electric Vehicle,Email
LD8988,Surat,University of Delhi,1st,Cyber Security,WhatsApp
LD8989,Ahmedabad,SP College,2nd,Robotics,Email
LD8990,Vadodara,SP College,1st,AI,College Collaboration
LD8991,Bangalore,IIT Bombay,3rd,Data Science,Mass-Mailing
LD8992,Ahmedabad,Shiv Nadar University,3rd,AI,Facebook
LD8993,Coimbatore,Bharati Vidyapeeth,4th,Cyber Security,Instagram
LD8994,Delhi,IISc Bangalore,4th,Cyber Security,Mass-Mailing
LD8995,Delhi,University of Delhi,3rd,AI,Email
LD8996,Surat,NIT Warangal,1st,Machine Learning,LinkedIn
LD8997,Coimbatore,MIT Pune,3rd,Cloud Computing,Instagram
LD8998,Nagpur,ABC Institute,4th,Data Science,Referral
LD8999,Vadodara,IIT Bombay,1st,Electric Vehicle,College Collaboration
LD9000,Coimbatore,Jamia Millia Islamia,4th,AI,Email
LD9001,Indore,XYZ University,1st,Data Science,Mass-Mailing
LD9002,Nagpur,Shivaji University,3rd,AI,Referral
LD9003,Ahmedabad,NIT Trichy,3rd,Robotics,Email
LD9004,Mumbai,University of Delhi,1st,Cloud Computing,Mass-Mailing
LD9005,Mumbai,ABC Institute,4th,Electric Vehicle,College Collaboration
LD9006,Indore,Manipal University,4th,Data Science,Google Form
LD9007,Lucknow,ABC Institute,3rd,Robotics,College Collaboration
LD9008,Patna,IIT Delhi,2nd,Data Science,Mass-Mailing
LD9009,Coimbatore,IIT Bombay,1st,Cyber Security,Instagram
LD9010,Chandigarh,VIT Vellore,2nd,AI,Referral
LD9011,Ahmedabad,NIT Warangal,3rd,Robotics,Referral
LD9012,Chandigarh,Manipal University,4th,Robotics,Instagram
LD9013,Visakhapatnam,ABC Institute,2nd,Cyber Security,Instagram
LD9014,Ahmedabad,Amity University,4th,Cyber Security,Email
LD9015,Mumbai,Amity University,2nd,Cyber Security,College Collaboration
LD9016,Pune,Bharati Vidyapeeth,1st,Electric Vehicle,College Collaboration
LD9017,Kolkata,IIT Bombay,4th,Robotics,WhatsApp
LD9018,Pune,SRM University,3rd,AI,Email
LD9019,Indore,Shivaji University,1st,Machine Learning,College Collaboration
LD9020,Bangalore,SP College,4th,Cloud Computing,Referral
LD9021,Coimbatore,ABC Institute,4th,Cyber Security,WhatsApp
LD9022,Surat,BITS Pilani,4th,Cyber Security,LinkedIn
LD9023,Jaipur,Jadavpur University,2nd,Cyber Security,College Collaboration
LD9024,Mumbai,MIT Pune,3rd,Electric Vehicle,Facebook
LD9025,Bhopal,Jadavpur University,1st,Data Science,Email
LD9026,Indore,Jamia Millia Islamia,2nd,AI,Facebook
LD9027,Mumbai,NIT Trichy,2nd,Electric Vehicle,Google Form
LD9028,Jaipur,NIT Trichy,1st,Electric Vehicle,WhatsApp
LD9029,Bangalore,Shiv Nadar University,3rd,Data Science,Google Form
LD9030,Kolkata,Amity University,4th,Robotics,Google Form
LD9031,Visakhapatnam,Jadavpur University,2nd,AI,WhatsApp
LD9032,Bangalore,IIT Delhi,3rd,Data Science,College Collaboration
LD9033,Pune,University of Delhi,3rd,Machine Learning,Referral
LD9034,Kolkata,IISc Bangalore,4th,Cloud Computing,College Collaboration
LD9035,Mumbai,Shivaji University,1st,Robotics,Instagram
LD9036,Delhi,IISc Bangalore,2nd,Robotics,WhatsApp
LD9037,Bangalore,BITS Pilani,3rd,Machine Learning,College Collaboration
LD9038,Vadodara,Amity University,3rd,Robotics,WhatsApp
LD9039,Nagpur,NIT Warangal,2nd,Cloud Computing,WhatsApp
LD9040,Kolkata,IISc Bangalore,2nd,Data Science,Instagram
LD9041,Jaipur,Shiv Nadar University,1st,Machine Learning,Referral
LD9042,Ahmedabad,SRM University,2nd,Electric Vehicle,Mass-Mailing
LD9043,Chandigarh,IISc Bangalore,1st,Electric Vehicle,Facebook
LD9044,Chennai,VIT Vellore,4th,Data Science,Facebook
LD9045,Indore,IISc Bangalore,2nd,Robotics,LinkedIn
LD9046,Pune,NIT Warangal,2nd,Cyber Security,Google Form
LD9047,Surat,Amity University,1st,Data Science,LinkedIn
LD9048,Vadodara,SP College,1st,Robotics,College Collaboration
LD9049,Chandigarh,SRM University,4th,Machine Learning,Instagram
LD9050,Kolkata,Jadavpur University,3rd,AI,Instagram
LD9051,Indore,IIT Bombay,4th,Machine Learning,Referral
LD9052,Indore,BITS Pilani,3rd,Cloud Computing,Facebook
LD9053,Patna,Shiv Nadar University,2nd,Cyber Security,Email
LD9054,Kolkata,SP College,4th,AI,Referral
LD9055,Jaipur,SP College,2nd,Data Science,Referral
LD9056,Delhi,University of Delhi,2nd,Data Science,College Collaboration
LD9057,Kolkata,Jamia Millia Islamia,3rd,AI,LinkedIn
LD9058,Vadodara,SP College,4th,Electric Vehicle,Referral
LD9059,Trivandrum,IIT Bombay,1st,Cloud Computing,Mass-Mailing
LD9060,Surat,Jadavpur University,2nd,AI,Referral
LD9061,Indore,Shiv Nadar University,4th,Cloud Computing,Mass-Mailing
LD9062,Indore,IIT Delhi,3rd,Data Science,Referral
LD9063,Bangalore,Shiv Nadar University,4th,Electric Vehicle,Mass-Mailing
LD9064,Visakhapatnam,Manipal University,2nd,Data Science,Instagram
LD9065,Bangalore,IIT Delhi,4th,Cloud Computing,College Collaboration
LD9066,Trivandrum,Bharati Vidyapeeth,4th,Data Science,Instagram
LD9067,Chandigarh,University of Delhi,2nd,Cyber Security,WhatsApp
LD9068,Chennai,IIT Bombay,2nd,Machine Learning,Email
LD9069,Chennai,IIT Delhi,1st,Data Science,Mass-Mailing
LD9070,Surat,SP College,1st,AI,Instagram
LD9071,Vadodara,IISc Bangalore,3rd,Machine Learning,Facebook
LD9072,Pune,Amity University,3rd,Data Science,Facebook
LD9073,Trivandrum,University of Delhi,2nd,Robotics,Mass-Mailing
LD9074,Pune,VIT Vellore,2nd,AI,Facebook
LD9075,Chandigarh,University of Delhi,2nd,Data Science,Referral
LD9076,Patna,MIT Pune,2nd,Cyber Security,Instagram
LD9077,Delhi,Jamia Millia Islamia,3rd,Data Science,WhatsApp
LD9078,Kolkata,Jamia Millia Islamia,4th,Data Science,Email
LD9079,Bhopal,Bharati Vidyapeeth,3rd,Robotics,Mass-Mailing
LD9080,Chandigarh,University of Delhi,1st,Data Science,Email
LD9081,Hyderabad,IIT Delhi,2nd,Robotics,College Collaboration
LD9082,Kolkata,IIT Bombay,2nd,Electric Vehicle,Facebook
LD9083,Delhi,BITS Pilani,4th,Cyber Security,Mass-Mailing
LD9084,Vadodara,IISc Bangalore,3rd,Machine Learning,WhatsApp
LD9085,Ahmedabad,Shivaji University,3rd,Cloud Computing,Email
LD9086,Lucknow,IIT Delhi,1st,Electric Vehicle,Instagram
LD9087,Lucknow,Jadavpur University,4th,Robotics,Instagram
LD9088,Surat,Manipal University,4th,AI,Mass-Mailing
LD9089,Patna,Amity University,2nd,Data Science,WhatsApp
LD9090,Vadodara,VIT Vellore,3rd,Electric Vehicle,Mass-Mailing
LD9091,Mumbai,MIT Pune,3rd,Cyber Security,College Collaboration
LD9092,Chennai,IIT Bombay,3rd,Robotics,Referral
LD9093,Patna,IIT Bombay,2nd,Cyber Security,LinkedIn
LD9094,Chandigarh,Jamia Millia Islamia,2nd,Cyber Security,College Collaboration
LD9095,Visakhapatnam,Amity University,1st,Cyber Security,Facebook
LD9096,Hyderabad,Jamia Millia Islamia,2nd,Cyber Security,WhatsApp
LD9097,Ahmedabad,ABC Institute,1st,Data Science,Google Form
LD9098,Nagpur,University of Delhi,2nd,Robotics,Referral
LD9099,Chennai,Bharati Vidyapeeth,4th,AI,Referral
LD9100,Surat,XYZ University,1st,Data Science,Instagram
LD9101,Mumbai,IIT Delhi,2nd,Robotics,Google Form
LD9102,Coimbatore,University of Delhi,3rd,AI,Facebook
LD9103,Surat,Amity University,3rd,Cloud Computing,Instagram
LD9104,Ahmedabad,XYZ University,2nd,Cyber Security,LinkedIn
LD9105,Surat,VIT Vellore,2nd,Machine Learning,Referral
LD9106,Ahmedabad,Amity University,4th,Cloud Computing,Google Form
LD9107,Jaipur,NIT Trichy,4th,AI,College Collaboration
LD9108,Surat,IISc Bangalore,3rd,Electric Vehicle,Referral
LD9109,Bangalore,Jamia Millia Islamia,2nd,AI,LinkedIn
LD9110,Surat,University of Delhi,1st,Data Science,Instagram
LD9111,Patna,Bharati Vidyapeeth,4th,Data Science,Email
LD9112,Visakhapatnam,IIT Bombay,2nd,Data Science,Instagram
LD9113,Visakhapatnam,IIT Bombay,3rd,Electric Vehicle,WhatsApp
LD9114,Patna,Amity University,3rd,AI,Referral
LD9115,Bhopal,Amity University,1st,Cyber Security,Email
LD9116,Vadodara,Shiv Nadar University,1st,Robotics,Referral
LD9117,Bangalore,XYZ University,1st,Cyber Security,LinkedIn
LD9118,Nagpur,Amity University,2nd,Electric Vehicle,Mass-Mailing
LD9119,Jaipur,NIT Warangal,4th,Robotics,Google Form
LD9120,Visakhapatnam,ABC Institute,2nd,Electric Vehicle,Google Form
LD9121,Vadodara,Shiv Nadar University,2nd,Cloud Computing,Mass-Mailing
LD9122,Hyderabad,IISc Bangalore,2nd,Machine Learning,College Collaboration
LD9123,Ahmedabad,Jadavpur University,2nd,Robotics,Mass-Mailing
LD9124,Bhopal,SRM University,1st,Data Science,Instagram
LD9125,Bhopal,MIT Pune,4th,Cyber Security,WhatsApp
LD9126,Bhopal,SP College,4th,Electric Vehicle,Mass-Mailing
LD9127,Chennai,IIT Delhi,4th,Machine Learning,Google Form
LD9128,Ahmedabad,SP College,2nd,Machine Learning,Facebook
LD9129,Visakhapatnam,Shiv Nadar University,4th,Cloud Computing,College Collaboration
LD9130,Delhi,Jamia Millia Islamia,2nd,Electric Vehicle,Mass-Mailing
LD9131,Bhopal,Jamia Millia Islamia,2nd,Cloud Computing,Instagram
LD9132,Mumbai,IIT Bombay,4th,Machine Learning,WhatsApp
LD9133,Hyderabad,NIT Warangal,1st,AI,Referral
LD9134,Bangalore,University of Delhi,1st,Data Science,College Collaboration
LD9135,Bhopal,NIT Trichy,3rd,Cyber Security,Referral
LD9136,Mumbai,SP College,1st,Robotics,Mass-Mailing
LD9137,Visakhapatnam,SP College,2nd,Cloud Computing,Google Form
LD9138,Coimbatore,IIT Bombay,1st,Machine Learning,Google Form
LD9139,Lucknow,NIT Warangal,3rd,Machine Learning,College Collaboration
LD9140,Coimbatore,NIT Warangal,4th,Electric Vehicle,WhatsApp
LD9141,Trivandrum,VIT Vellore,3rd,AI,Email
LD9142,Ahmedabad,NIT Warangal,2nd,Electric Vehicle,Mass-Mailing
LD9143,Indore,MIT Pune,3rd,Machine Learning,Google Form
LD9144,Chandigarh,NIT Trichy,1st,Electric Vehicle,Email
LD9145,Delhi,Shiv Nadar University,1st,Robotics,Facebook
LD9146,Hyderabad,IISc Bangalore,2nd,Machine Learning,LinkedIn
LD9147,Bangalore,BITS Pilani,4th,AI,Google Form
LD9148,Nagpur,BITS Pilani,1st,Cyber Security,WhatsApp
LD9149,Vadodara,XYZ University,3rd,Cloud Computing,Email
LD9150,Chandigarh,Jadavpur University,1st,Robotics,Facebook
LD9151,Surat,Jadavpur University,2nd,Cyber Security,WhatsApp
LD9152,Chandigarh,NIT Warangal,2nd,Data Science,LinkedIn
LD9153,Ahmedabad,Jadavpur University,2nd,Machine Learning,Referral
LD9154,Chandigarh,University of Delhi,4th,Cloud Computing,Facebook
LD9155,Bangalore,Shivaji University,3rd,Data Science,Email
LD9156,Hyderabad,Amity University,3rd,Cyber Security,WhatsApp
LD9157,Jaipur,Shiv Nadar University,3rd,Cyber Security,Referral
LD9158,Vadodara,IIT Delhi,3rd,Robotics,Email
LD9159,Kolkata,XYZ University,3rd,Machine Learning,LinkedIn
LD9160,Chandigarh,Shiv Nadar University,1st,Cloud Computing,Google Form
LD9161,Lucknow,NIT Trichy,2nd,Cloud Computing,College Collaboration
LD9162,Hyderabad,SRM University,3rd,Cyber Security,Mass-Mailing
LD9163,Trivandrum,Shiv Nadar University,4th,Cyber Security,College Collaboration
LD9164,Patna,ABC Institute,1st,Robotics,Email
LD9165,Surat,SP College,2nd,Robotics,Facebook
LD9166,Bangalore,ABC Institute,3rd,Cloud Computing,Referral
LD9167,Nagpur,Bharati Vidyapeeth,3rd,Cyber Security,College Collaboration
LD9168,Jaipur,University of Delhi,3rd,Data Science,Facebook
LD9169,Bangalore,IIT Bombay,2nd,AI,WhatsApp
LD9170,Nagpur,IIT Delhi,1st,Electric Vehicle,Email
LD9171,Lucknow,BITS Pilani,2nd,Data Science,Email
LD9172,Patna,IIT Bombay,3rd,Machine Learning,College Collaboration
LD9173,Pune,IISc Bangalore,4th,Machine Learning,Facebook
LD9174,Chennai,NIT Trichy,2nd,Robotics,Facebook
LD9175,Patna,SRM University,3rd,AI,Google Form
LD9176,Indore,Bharati Vidyapeeth,3rd,Cloud Computing,College Collaboration
LD9177,Mumbai,Shiv Nadar University,4th,Robotics,WhatsApp
LD9178,Bhopal,NIT Trichy,3rd,Cyber Security,WhatsApp
LD9179,Patna,BITS Pilani,3rd,Robotics,WhatsApp
LD9180,Pune,University of Delhi,3rd,Cyber Security,Google Form
LD9181,Indore,NIT Trichy,2nd,Electric Vehicle,WhatsApp
LD9182,Jaipur,University of Delhi,4th,Robotics,WhatsApp
LD9183,Vadodara,Jamia Millia Islamia,4th,Electric Vehicle,Email
LD9184,Lucknow,ABC Institute,1st,Cyber Security,Email
LD9185,Bhopal,MIT Pune,1st,Cyber Security,Referral
LD9186,Mumbai,IIT Delhi,3rd,Machine Learning,Facebook
LD9187,Delhi,IISc Bangalore,3rd,Machine Learning,Referral
LD9188,Vadodara,XYZ University,3rd,Robotics,Instagram
LD9189,Indore,NIT Warangal,1st,Data Science,Referral
LD9190,Surat,SP College,2nd,Data Science,Mass-Mailing
LD9191,Lucknow,Shivaji University,4th,Robotics,College Collaboration
LD9192,Bhopal,Shiv Nadar University,2nd,Data Science,Instagram
LD9193,Coimbatore,ABC Institute,3rd,Robotics,LinkedIn
LD9194,Bhopal,MIT Pune,2nd,Cloud Computing,Google Form
LD9195,Lucknow,Manipal University,2nd,Machine Learning,WhatsApp
LD9196,Nagpur,Shiv Nadar University,4th,Cloud Computing,Facebook
LD9197,Lucknow,IISc Bangalore,1st,AI,Mass-Mailing
LD9198,Chennai,Amity University,2nd,Machine Learning,Email
LD9199,Lucknow,IIT Bombay,3rd,Cloud Computing,Email
LD9200,Coimbatore,Shiv Nadar University,3rd,Data Science,Email
LD9201,Indore,MIT Pune,2nd,Robotics,Mass-Mailing
LD9202,Vadodara,University of Delhi,4th,Data Science,Instagram
LD9203,Surat,SRM University,4th,Machine Learning,College Collaboration
LD9204,Ahmedabad,University of Delhi,1st,Machine Learning,WhatsApp
LD9205,Vadodara,IISc Bangalore,3rd,Robotics,WhatsApp
LD9206,Visakhapatnam,BITS Pilani,1st,Cyber Security,Email
LD9207,Nagpur,Bharati Vidyapeeth,3rd,Machine Learning,Google Form
LD9208,Chandigarh,NIT Trichy,3rd,AI,WhatsApp
LD9209,Pune,BITS Pilani,3rd,Robotics,WhatsApp
LD9210,Pune,Amity University,1st,Cloud Computing,Google Form
LD9211,Bhopal,MIT Pune,2nd,Robotics,Google Form
LD9212,Surat,IISc Bangalore,4th,Data Science,Instagram
LD9213,Coimbatore,IIT Bombay,1st,Robotics,College Collaboration
LD9214,Nagpur,BITS Pilani,4th,Cyber Security,Facebook
LD9215,Bangalore,MIT Pune,3rd,Electric Vehicle,Instagram
LD9216,Lucknow,XYZ University,2nd,Electric Vehicle,Email
LD9217,Ahmedabad,NIT Warangal,2nd,Robotics,Referral
LD9218,Hyderabad,Bharati Vidyapeeth,2nd,Cyber Security,Facebook
LD9219,Mumbai,XYZ University,1st,Cloud Computing,College Collaboration
LD9220,Hyderabad,Jamia Millia Islamia,2nd,Robotics,College Collaboration
LD9221,Mumbai,IIT Delhi,1st,Cyber Security,LinkedIn
LD9222,Trivandrum,IIT Bombay,4th,AI,WhatsApp
LD9223,Visakhapatnam,VIT Vellore,2nd,Data Science,LinkedIn
LD9224,Delhi,IIT Bombay,1st,Cloud Computing,LinkedIn
LD9225,Ahmedabad,IIT Bombay,4th,AI,Instagram
LD9226,Lucknow,SP College,3rd,Robotics,Referral
LD9227,Surat,MIT Pune,2nd,Electric Vehicle,Instagram
LD9228,Patna,Jamia Millia Islamia,2nd,Cyber Security,Instagram
LD9229,Bhopal,Amity University,4th,AI,Google Form
LD9230,Coimbatore,ABC Institute,4th,Robotics,Google Form
LD9231,Jaipur,SP College,1st,Electric Vehicle,WhatsApp
LD9232,Kolkata,Amity University,3rd,Data Science,Facebook
LD9233,Trivandrum,IIT Delhi,3rd,AI,Google Form
LD9234,Trivandrum,NIT Trichy,3rd,Robotics,WhatsApp
LD9235,Chandigarh,IIT Delhi,2nd,Robotics,Instagram
LD9236,Bangalore,BITS Pilani,4th,Cyber Security,College Collaboration
LD9237,Delhi,ABC Institute,2nd,Data Science,Email
LD9238,Chennai,IIT Bombay,3rd,AI,Referral
LD9239,Coimbatore,VIT Vellore,3rd,Data Science,Referral
LD9240,Coimbatore,Shiv Nadar University,4th,Machine Learning,Facebook
LD9241,Indore,Manipal University,4th,Cyber Security,WhatsApp
LD9242,Kolkata,Manipal University,3rd,Robotics,WhatsApp
LD9243,Patna,VIT Vellore,4th,Robotics,LinkedIn
LD9244,Surat,ABC Institute,4th,Electric Vehicle,College Collaboration
LD9245,Visakhapatnam,Shivaji University,4th,Data Science,Referral
LD9246,Kolkata,VIT Vellore,1st,Cyber Security,College Collaboration
LD9247,Bhopal,Bharati Vidyapeeth,2nd,AI,LinkedIn
LD9248,Bhopal,ABC Institute,4th,Robotics,Email
LD9249,Mumbai,ABC Institute,1st,AI,WhatsApp
LD9250,Surat,University of Delhi,3rd,Cyber Security,College Collaboration
LD9251,Vadodara,BITS Pilani,4th,AI,Facebook
LD9252,Hyderabad,IIT Bombay,1st,Robotics,Facebook
LD9253,Ahmedabad,Bharati Vidyapeeth,4th,Electric Vehicle,Referral
LD9254,Visakhapatnam,SP College,1st,Data Science,Facebook
LD9255,Chandigarh,BITS Pilani,2nd,Robotics,WhatsApp
LD9256,Vadodara,BITS Pilani,2nd,Cloud Computing,Email
LD9257,Visakhapatnam,ABC Institute,3rd,Data Science,Google Form
LD9258,Coimbatore,Manipal University,3rd,Robotics,WhatsApp
LD9259,Pune,NIT Warangal,4th,Cloud Computing,Mass-Mailing
LD9260,Lucknow,BITS Pilani,1st,Robotics,Referral
LD9261,Kolkata,IIT Delhi,1st,AI,Referral
LD9262,Surat,BITS Pilani,4th,Robotics,Facebook
LD9263,Bangalore,Jadavpur University,4th,Electric Vehicle,Instagram
LD9264,Coimbatore,VIT Vellore,4th,Data Science,Mass-Mailing
LD9265,Jaipur,VIT Vellore,1st,Robotics,Facebook
LD9266,Chandigarh,SRM University,2nd,Machine Learning,Email
LD9267,Lucknow,Manipal University,3rd,Machine Learning,College Collaboration
LD9268,Chandigarh,IIT Delhi,4th,Robotics,LinkedIn
LD9269,Jaipur,NIT Trichy,2nd,AI,Referral
LD9270,Visakhapatnam,SRM University,2nd,Robotics,WhatsApp
LD9271,Surat,Amity University,1st,Data Science,Google Form
LD9272,Indore,BITS Pilani,1st,Electric Vehicle,LinkedIn
LD9273,Vadodara,Shivaji University,1st,Cyber Security,LinkedIn
LD9274,Chandigarh,IIT Delhi,1st,Cyber Security,WhatsApp
LD9275,Visakhapatnam,Manipal University,1st,Data Science,WhatsApp
LD9276,Patna,VIT Vellore,4th,Data Science,Facebook
LD9277,Surat,VIT Vellore,2nd,Cloud Computing,Mass-Mailing
LD9278,Trivandrum,Amity University,3rd,Electric Vehicle,Google Form
LD9279,Indore,BITS Pilani,4th,Data Science,College Collaboration
LD9280,Chennai,Amity University,1st,Cloud Computing,Instagram
LD9281,Hyderabad,VIT Vellore,3rd,Robotics,Email
LD9282,Coimbatore,ABC Institute,2nd,AI,LinkedIn
LD9283,Bhopal,IIT Delhi,1st,Machine Learning,Mass-Mailing
LD9284,Mumbai,SRM University,4th,Electric Vehicle,Instagram
LD9285,Bhopal,Jamia Millia Islamia,4th,Machine Learning,Instagram
LD9286,Nagpur,NIT Warangal,3rd,Data Science,LinkedIn
LD9287,Patna,BITS Pilani,4th,Cloud Computing,WhatsApp
LD9288,Bhopal,BITS Pilani,3rd,Data Science,LinkedIn
LD9289,Patna,NIT Warangal,2nd,Electric Vehicle,Mass-Mailing
LD9290,Chennai,SRM University,1st,Cloud Computing,LinkedIn
LD9291,Kolkata,ABC Institute,3rd,Robotics,WhatsApp
LD9292,Visakhapatnam,IIT Bombay,3rd,AI,WhatsApp
LD9293,Patna,Amity University,2nd,Cyber Security,College Collaboration
LD9294,Ahmedabad,Manipal University,4th,Data Science,Email
LD9295,Patna,ABC Institute,2nd,Electric Vehicle,Google Form
LD9296,Lucknow,University of Delhi,4th,Cloud Computing,Mass-Mailing
LD9297,Vadodara,Bharati Vidyapeeth,2nd,Robotics,Instagram
LD9298,Chandigarh,Jamia Millia Islamia,4th,Cyber Security,Email
LD9299,Jaipur,IISc Bangalore,4th,Machine Learning,Facebook
LD9300,Visakhapatnam,IIT Bombay,3rd,Cyber Security,WhatsApp
LD9301,Chennai,University of Delhi,4th,Electric Vehicle,WhatsApp
LD9302,Chandigarh,ABC Institute,2nd,Machine Learning,Referral
LD9303,Vadodara,Amity University,4th,Robotics,College Collaboration
LD9304,Pune,Bharati Vidyapeeth,4th,Cloud Computing,LinkedIn
LD9305,Hyderabad,IIT Bombay,4th,AI,Email
LD9306,Kolkata,IIT Bombay,1st,Machine Learning,College Collaboration
LD9307,Nagpur,Manipal University,4th,Cyber Security,Google Form
LD9308,Lucknow,Shiv Nadar University,4th,AI,WhatsApp
LD9309,Bhopal,NIT Warangal,3rd,Cyber Security,Instagram
LD9310,Nagpur,IIT Delhi,3rd,Cloud Computing,Instagram
LD9311,Bhopal,IISc Bangalore,4th,Data Science,Facebook
LD9312,Chennai,NIT Trichy,1st,Data Science,Email
LD9313,Vadodara,IISc Bangalore,1st,Machine Learning,WhatsApp
LD9314,Nagpur,Shivaji University,2nd,AI,Instagram
LD9315,Nagpur,BITS Pilani,4th,Electric Vehicle,Instagram
LD9316,Visakhapatnam,ABC Institute,4th,Electric Vehicle,Email
LD9317,Nagpur,IIT Bombay,1st,AI,Mass-Mailing
LD9318,Hyderabad,IIT Bombay,3rd,Electric Vehicle,WhatsApp
LD9319,Bhopal,IIT Delhi,3rd,Machine Learning,Google Form
LD9320,Bhopal,NIT Warangal,3rd,Machine Learning,LinkedIn
LD9321,Bangalore,Amity University,1st,Machine Learning,Google Form
LD9322,Kolkata,Manipal University,2nd,Robotics,Email
LD9323,Hyderabad,BITS Pilani,4th,Data Science,College Collaboration
LD9324,Chandigarh,SP College,2nd,Cyber Security,Facebook
LD9325,Vadodara,IISc Bangalore,4th,AI,LinkedIn
LD9326,Pune,IIT Delhi,4th,Robotics,Mass-Mailing
LD9327,Indore,IISc Bangalore,2nd,Cloud Computing,Email
LD9328,Patna,Bharati Vidyapeeth,4th,Electric Vehicle,Instagram
